Model,Type,Bits,Depth,Accuracy,F1_Score,Precision,Recall,Inference_Time_s
Decision Tree,Clear_Optimized,,5,0.8939393939393939,0.2601626016260163,0.19753086419753085,0.38095238095238093,0.0003566741943359375
Decision Tree,Clear_Optimized,,6,0.8589743589743589,0.26666666666666666,0.17886178861788618,0.5238095238095238,0.00018906593322753906
Decision Tree,Clear_Optimized,,7,0.8951048951048951,0.21052631578947367,0.16666666666666666,0.2857142857142857,0.00017309188842773438
Decision Tree,Clear_Optimized,,8,0.8857808857808858,0.19672131147540983,0.15,0.2857142857142857,0.00016689300537109375
Decision Tree,Clear_Optimized,,9,0.8857808857808858,0.24615384615384617,0.18181818181818182,0.38095238095238093,0.00017213821411132812
Decision Tree,Clear_Optimized,,10,0.9009324009324009,0.23423423423423423,0.18840579710144928,0.30952380952380953,0.00019216537475585938
Random Forest,Clear_Optimized,,4,0.8752913752913752,0.3096774193548387,0.21238938053097345,0.5714285714285714,0.007400989532470703
Random Forest,Clear_Optimized,,5,0.8927738927738927,0.3235294117647059,0.23404255319148937,0.5238095238095238,0.0036127567291259766
Random Forest,Clear_Optimized,,6,0.9044289044289044,0.3492063492063492,0.2619047619047619,0.5238095238095238,0.010303974151611328
Random Forest,Clear_Optimized,,7,0.9090909090909091,0.30357142857142855,0.24285714285714285,0.40476190476190477,0.008210897445678711
Random Forest,Clear_Optimized,,8,0.9254079254079254,0.36,0.3103448275862069,0.42857142857142855,0.005041837692260742
Random Forest,Clear_Optimized,,9,0.9277389277389277,0.32608695652173914,0.3,0.35714285714285715,0.007156848907470703
Random Forest,Clear_Optimized,,10,0.9300699300699301,0.3181818181818182,0.30434782608695654,0.3333333333333333,0.0057222843170166016
XGBoost,Clear_Optimized,,4,0.9335664335664335,0.3132530120481928,0.3170731707317073,0.30952380952380953,0.004711151123046875
XGBoost,Clear_Optimized,,5,0.9440559440559441,0.35135135135135137,0.40625,0.30952380952380953,0.04096484184265137
XGBoost,Clear_Optimized,,6,0.9428904428904429,0.30985915492957744,0.3793103448275862,0.2619047619047619,0.014657974243164062
XGBoost,Clear_Optimized,,7,0.9487179487179487,0.37142857142857144,0.4642857142857143,0.30952380952380953,0.0050678253173828125
XGBoost,Clear_Optimized,,8,0.9498834498834499,0.3582089552238806,0.48,0.2857142857142857,0.006212711334228516
XGBoost,Clear_Optimized,,9,0.9428904428904429,0.30985915492957744,0.3793103448275862,0.2619047619047619,0.01668238639831543
XGBoost,Clear_Optimized,,10,0.9452214452214452,0.3380281690140845,0.41379310344827586,0.2857142857142857,0.007771968841552734
